exp,cell_id,seed,run_id,wall_seconds,cohort_patients,cohort_referrals,cohort_events,git_sha,alembic_head,escalation_on,dropout_rate,response_rate,referrals_total,referrals_closed,closure_rate,dropped_total,escalations_raised,escalations_true_positive,escalations_false_positive,dropped_detected,detection_rate,mean_hours_to_detection,resumed_count,resumed_and_closed,reconciled_count
E1,off_d10,42,e1_off_d10_s42,83.699,22,53,185,unknown,0008,False,0.1,,53,32,0.6037735849056604,21,0,0,0,0,0.0,,0,0,0
E1,off_d10,7,e1_off_d10_s7,99.488,22,63,248,unknown,0008,False,0.1,,63,44,0.6984126984126984,19,0,0,0,0,0.0,,0,0,0
E1,off_d10,13,e1_off_d10_s13,90.285,22,66,233,unknown,0008,False,0.1,,66,41,0.6212121212121212,25,0,0,0,0,0.0,,0,0,0
E1,off_d25,42,e1_off_d25_s42,82.162,22,53,185,unknown,0008,False,0.25,,53,32,0.6037735849056604,21,0,0,0,0,0.0,,0,0,0
E1,off_d25,7,e1_off_d25_s7,91.952,22,63,207,unknown,0008,False,0.25,,63,34,0.5396825396825397,29,0,0,0,0,0.0,,0,0,0
E1,off_d25,13,e1_off_d25_s13,85.73,22,66,219,unknown,0008,False,0.25,,66,38,0.5757575757575758,28,0,0,0,0,0.0,,0,0,0
E1,off_d40,42,e1_off_d40_s42,75.157,22,53,172,unknown,0008,False,0.4,,53,28,0.5283018867924528,25,0,0,0,0,0.0,,0,0,0
E1,off_d40,7,e1_off_d40_s7,75.243,22,63,162,unknown,0008,False,0.4,,63,24,0.38095238095238093,39,0,0,0,0,0.0,,0,0,0
E1,off_d40,13,e1_off_d40_s13,72.071,22,66,170,unknown,0008,False,0.4,,66,27,0.4090909090909091,39,0,0,0,0,0.0,,0,0,0
E1,on_d10_r00,42,e1_on_d10_r00_s42,80.618,22,53,185,unknown,0008,True,0.1,0.0,53,32,0.6037735849056604,21,37,21,16,21,1.0,48.57142857142857,0,0,18
E1,on_d10_r00,7,e1_on_d10_r00_s7,101.968,22,63,248,unknown,0008,True,0.1,0.0,63,44,0.6984126984126984,19,50,19,31,19,1.0,47.36842105263158,0,0,34
E1,on_d10_r00,13,e1_on_d10_r00_s13,92.73,22,66,233,unknown,0008,True,0.1,0.0,66,41,0.6212121212121212,25,47,25,22,25,1.0,42.72,0,0,24
E1,on_d10_r025,42,e1_on_d10_r025_s42,85.428,22,53,185,unknown,0008,True,0.1,0.25,53,51,0.9622641509433962,21,37,21,16,21,1.0,48.57142857142857,32,32,3
E1,on_d10_r025,7,e1_on_d10_r025_s7,101.783,22,63,248,unknown,0008,True,0.1,0.25,63,44,0.6984126984126984,19,50,19,31,19,1.0,47.36842105263158,0,0,34
E1,on_d10_r025,13,e1_on_d10_r025_s13,99.362,22,66,233,unknown,0008,True,0.1,0.25,66,41,0.6212121212121212,25,47,25,22,25,1.0,42.72,0,0,24
E1,on_d10_r05,42,e1_on_d10_r05_s42,84.767,22,53,185,unknown,0008,True,0.1,0.5,53,34,0.6415094339622641,21,37,21,16,21,1.0,48.57142857142857,5,5,15
E1,on_d10_r05,7,e1_on_d10_r05_s7,108.292,22,63,248,unknown,0008,True,0.1,0.5,63,62,0.9841269841269841,19,50,19,31,19,1.0,47.36842105263158,46,46,3
E1,on_d10_r05,13,e1_on_d10_r05_s13,97.565,22,66,233,unknown,0008,True,0.1,0.5,66,66,1.0,25,47,25,22,25,1.0,42.72,44,44,3
E1,on_d10_r075,42,e1_on_d10_r075_s42,83.083,22,53,185,unknown,0008,True,0.1,0.75,53,53,1.0,21,37,21,16,21,1.0,48.57142857142857,37,37,0
E1,on_d10_r075,7,e1_on_d10_r075_s7,102.2,22,63,248,unknown,0008,True,0.1,0.75,63,60,0.9523809523809523,19,50,19,31,19,1.0,47.36842105263158,44,44,3
E1,on_d10_r075,13,e1_on_d10_r075_s13,89.16,22,66,233,unknown,0008,True,0.1,0.75,66,42,0.6363636363636364,25,47,25,22,25,1.0,42.72,1,1,24
E1,on_d25_r00,42,e1_on_d25_r00_s42,78.316,22,53,185,unknown,0008,True,0.25,0.0,53,32,0.6037735849056604,21,36,21,15,21,1.0,53.142857142857146,0,0,17
E1,on_d25_r00,7,e1_on_d25_r00_s7,93.462,22,63,207,unknown,0008,True,0.25,0.0,63,34,0.5396825396825397,29,54,29,25,29,1.0,48.41379310344828,0,0,30
E1,on_d25_r00,13,e1_on_d25_r00_s13,87.237,22,66,219,unknown,0008,True,0.25,0.0,66,38,0.5757575757575758,28,46,28,18,28,1.0,48.0,0,0,21
E1,on_d25_r025,42,e1_on_d25_r025_s42,78.009,22,53,185,unknown,0008,True,0.25,0.25,53,32,0.6037735849056604,21,36,21,15,21,1.0,53.142857142857146,0,0,17
E1,on_d25_r025,7,e1_on_d25_r025_s7,89.725,22,63,207,unknown,0008,True,0.25,0.25,63,37,0.5873015873015873,29,54,29,25,29,1.0,48.41379310344828,8,8,24
E1,on_d25_r025,13,e1_on_d25_r025_s13,82.75,22,66,219,unknown,0008,True,0.25,0.25,66,38,0.5757575757575758,28,46,28,18,28,1.0,48.0,0,0,21
E1,on_d25_r05,42,e1_on_d25_r05_s42,78.929,22,53,185,unknown,0008,True,0.25,0.5,53,33,0.6226415094339622,21,36,21,15,21,1.0,53.142857142857146,4,4,14
E1,on_d25_r05,7,e1_on_d25_r05_s7,88.945,22,63,207,unknown,0008,True,0.25,0.5,63,34,0.5396825396825397,29,54,29,25,29,1.0,48.41379310344828,0,0,30
E1,on_d25_r05,13,e1_on_d25_r05_s13,88.042,22,66,219,unknown,0008,True,0.25,0.5,66,65,0.9848484848484849,28,46,28,18,28,1.0,48.0,45,45,0
E1,on_d25_r075,42,e1_on_d25_r075_s42,82.936,22,53,185,unknown,0008,True,0.25,0.75,53,53,1.0,21,36,21,15,21,1.0,53.142857142857146,36,36,0
E1,on_d25_r075,7,e1_on_d25_r075_s7,89.965,22,63,207,unknown,0008,True,0.25,0.75,63,37,0.5873015873015873,29,54,29,25,29,1.0,48.41379310344828,7,7,25
E1,on_d25_r075,13,e1_on_d25_r075_s13,89.004,22,66,219,unknown,0008,True,0.25,0.75,66,66,1.0,28,46,28,18,28,1.0,48.0,46,46,0
E1,on_d40_r00,42,e1_on_d40_r00_s42,74.36,22,53,172,unknown,0008,True,0.4,0.0,53,28,0.5283018867924528,25,39,25,14,25,1.0,54.24,0,0,16
E1,on_d40_r00,7,e1_on_d40_r00_s7,74.784,22,63,162,unknown,0008,True,0.4,0.0,63,24,0.38095238095238093,39,56,39,17,39,1.0,50.15384615384615,0,0,24
E1,on_d40_r00,13,e1_on_d40_r00_s13,69.896,22,66,170,unknown,0008,True,0.4,0.0,66,27,0.4090909090909091,39,50,39,11,39,1.0,49.53846153846154,0,0,16
E1,on_d40_r025,42,e1_on_d40_r025_s42,76.169,22,53,172,unknown,0008,True,0.4,0.25,53,34,0.6415094339622641,25,39,25,14,25,1.0,54.24,7,7,15
E1,on_d40_r025,7,e1_on_d40_r025_s7,75.34,22,63,162,unknown,0008,True,0.4,0.25,63,29,0.4603174603174603,39,56,39,17,39,1.0,50.15384615384615,5,5,23
E1,on_d40_r025,13,e1_on_d40_r025_s13,70.96,22,66,170,unknown,0008,True,0.4,0.25,66,27,0.4090909090909091,39,50,39,11,39,1.0,49.53846153846154,0,0,16
E1,on_d40_r05,42,e1_on_d40_r05_s42,78.47,22,53,172,unknown,0008,True,0.4,0.5,53,49,0.9245283018867925,25,39,25,14,25,1.0,54.24,34,34,1
E1,on_d40_r05,7,e1_on_d40_r05_s7,74.974,22,63,162,unknown,0008,True,0.4,0.5,63,29,0.4603174603174603,39,56,39,17,39,1.0,50.15384615384615,5,5,23
E1,on_d40_r05,13,e1_on_d40_r05_s13,71.178,22,66,170,unknown,0008,True,0.4,0.5,66,27,0.4090909090909091,39,50,39,11,39,1.0,49.53846153846154,0,0,16
E1,on_d40_r075,42,e1_on_d40_r075_s42,79.666,22,53,172,unknown,0008,True,0.4,0.75,53,52,0.9811320754716981,25,39,25,14,25,1.0,54.24,37,37,1
E1,on_d40_r075,7,e1_on_d40_r075_s7,81.364,22,63,162,unknown,0008,True,0.4,0.75,63,63,1.0,39,56,39,17,39,1.0,50.15384615384615,56,56,0
E1,on_d40_r075,13,e1_on_d40_r075_s13,74.95,22,66,170,unknown,0008,True,0.4,0.75,66,31,0.4696969696969697,39,50,39,11,39,1.0,49.53846153846154,6,6,13
