exp,cell_id,seed,run_id,wall_seconds,cohort_patients,cohort_referrals,cohort_events,git_sha,alembic_head,sla_window_hours,response_rate,referrals_total,referrals_closed,closure_rate,escalations_raised,escalations_per_100_referrals,escalations_false_positive
E2,sla24,42,e2_sla24_s42,1047.062,22,53,185,unknown,0008,24,0.5,53,39,0.7358490566037735,21,39.62264150943396,0
E2,sla24,7,e2_sla24_s7,1178.772,22,63,207,unknown,0008,24,0.5,63,53,0.8412698412698413,29,46.03174603174603,0
E2,sla24,13,e2_sla24_s13,1114.349,22,66,219,unknown,0008,24,0.5,66,50,0.7575757575757576,28,42.42424242424242,0
E2,sla48,42,e2_sla48_s42,1044.981,22,53,185,unknown,0008,48,0.5,53,44,0.8301886792452831,21,39.62264150943396,0
E2,sla48,7,e2_sla48_s7,1177.618,22,63,207,unknown,0008,48,0.5,63,51,0.8095238095238095,29,46.03174603174603,0
E2,sla48,13,e2_sla48_s13,1115.058,22,66,219,unknown,0008,48,0.5,66,51,0.7727272727272727,28,42.42424242424242,0
E2,sla72,42,e2_sla72_s42,1049.954,22,53,185,unknown,0008,72,0.5,53,41,0.7735849056603774,21,39.62264150943396,0
E2,sla72,7,e2_sla72_s7,1173.744,22,63,207,unknown,0008,72,0.5,63,51,0.8095238095238095,29,46.03174603174603,0
E2,sla72,13,e2_sla72_s13,1117.737,22,66,219,unknown,0008,72,0.5,66,51,0.7727272727272727,28,42.42424242424242,0
E2,sla120,42,e2_sla120_s42,1045.465,22,53,185,unknown,0008,120,0.5,53,42,0.7924528301886793,21,39.62264150943396,0
E2,sla120,7,e2_sla120_s7,1179.649,22,63,207,unknown,0008,120,0.5,63,50,0.7936507936507936,29,46.03174603174603,0
E2,sla120,13,e2_sla120_s13,1125.133,22,66,219,unknown,0008,120,0.5,66,51,0.7727272727272727,28,42.42424242424242,0
