exp,cell_id,seed,run_id,wall_seconds,cohort_patients,cohort_referrals,cohort_events,git_sha,alembic_head,threshold,precision,recall,f1,auto_resolution_rate,blocking_recall,miss_normalize,miss_blocking,miss_scoring,miss_threshold
E3,thresholds,42,e3_thresholds_s42,9.035,22,53,185,unknown,0008,80,1.0,1.0,1.0,0.5,1.0,0,0,0,0
E3,thresholds,42,e3_thresholds_s42,9.035,22,53,185,unknown,0008,85,1.0,1.0,1.0,0.5,1.0,0,0,0,0
E3,thresholds,42,e3_thresholds_s42,9.035,22,53,185,unknown,0008,88,1.0,1.0,1.0,0.5,1.0,0,0,0,0
E3,thresholds,42,e3_thresholds_s42,9.035,22,53,185,unknown,0008,90,1.0,1.0,1.0,0.5,1.0,0,0,0,0
E3,thresholds,42,e3_thresholds_s42,9.035,22,53,185,unknown,0008,92,1.0,0.5,0.6666666666666666,0.5,1.0,0,0,0,0
E3,thresholds,42,e3_thresholds_s42,9.035,22,53,185,unknown,0008,95,1.0,0.5,0.6666666666666666,0.5,1.0,0,0,0,0
E3,thresholds,7,e3_thresholds_s7,6.399,22,63,207,unknown,0008,80,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,7,e3_thresholds_s7,6.399,22,63,207,unknown,0008,85,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,7,e3_thresholds_s7,6.399,22,63,207,unknown,0008,88,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,7,e3_thresholds_s7,6.399,22,63,207,unknown,0008,90,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,7,e3_thresholds_s7,6.399,22,63,207,unknown,0008,92,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,7,e3_thresholds_s7,6.399,22,63,207,unknown,0008,95,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,13,e3_thresholds_s13,6.925,22,66,219,unknown,0008,80,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,13,e3_thresholds_s13,6.925,22,66,219,unknown,0008,85,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,13,e3_thresholds_s13,6.925,22,66,219,unknown,0008,88,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,13,e3_thresholds_s13,6.925,22,66,219,unknown,0008,90,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,13,e3_thresholds_s13,6.925,22,66,219,unknown,0008,92,1.0,1.0,1.0,1.0,1.0,0,0,0,0
E3,thresholds,13,e3_thresholds_s13,6.925,22,66,219,unknown,0008,95,1.0,1.0,1.0,1.0,1.0,0,0,0,0
